H0_count,H0_total_persistence,H0_max_lifetime,H0_mean_lifetime,H0_std_lifetime,H0_entropy,H0_lifetime_skew,H0_lifetime_kurtosis,H0_lifetime_q25,H0_lifetime_q75,H0_lifetime_iqr,H0_mean_birth,H0_mean_death,H0_birth_spread,H0_death_spread,H1_count,H1_total_persistence,H1_max_lifetime,H1_mean_lifetime,H1_std_lifetime,H1_entropy,H1_lifetime_skew,H1_lifetime_kurtosis,H1_lifetime_q25,H1_lifetime_q75,H1_lifetime_iqr,H1_mean_birth,H1_mean_death,H1_birth_spread,H1_death_spread,H2_count,H2_total_persistence,H2_max_lifetime,H2_mean_lifetime,H2_std_lifetime,H2_entropy,H2_lifetime_skew,H2_lifetime_kurtosis,H2_lifetime_q25,H2_lifetime_q75,H2_lifetime_iqr,H2_mean_birth,H2_mean_death,H2_birth_spread,H2_death_spread,H1_H0_ratio,H2_H1_ratio,euler_approx,intrinsic_dim_twonn,intrinsic_dim_mle,dim_variance,dim_cv,isotropy,effective_rank_sv,sv_entropy,condition_number,volume_proxy,silhouette_k2,silhouette_k3,silhouette_k4,silhouette_k5,silhouette_k6,silhouette_k7,silhouette_k8,optimal_k,best_silhouette,dbscan_eps0.5_clusters,dbscan_eps0.5_noise,dbscan_eps1.0_clusters,dbscan_eps1.0_noise,dbscan_eps2.0_clusters,dbscan_eps2.0_noise,mean_nn_dist,std_nn_dist,nn_dist_cv,max_hub_degree,hub_entropy,mean_curvature,std_curvature,min_curvature,max_curvature,negative_curvature_frac,dist_to_sphere,dist_to_blob,dist_to_two_clusters,dist_to_circle,dist_to_torus,nearest_template,nearest_template_dist,level,correct
99,7022.617498397827,127.59375762939453,70.93553028684674,26.965126462942518,4.520686742626152,0.19220096737751238,-0.8654564670105875,45.72144317626953,89.8034782409668,44.082035064697266,0.0,70.93553028684674,0.0,26.965126462942518,28,148.3337173461914,17.2415771484375,5.297632762363979,4.639060964336918,2.987706034164808,1.2029580612766764,0.410208493258168,1.90228271484375,7.314355850219727,5.412073135375977,113.97186715262276,119.26949991498675,15.641984533652005,15.432941648664404,3,6.606781005859375,5.2167205810546875,2.2022603352864585,2.1345698807102655,0.6560787909573745,0.6981063339179984,0.0,0.6950302124023438,3.0254364013671875,2.3304061889648438,131.83111826578775,134.03337860107422,12.53213562714836,12.296170014888528,0.2828282828282828,0.10714285714285714,74,3.9534234455423762,3.7174352493126834,12.154397317362912,0.6882595811177827,0.17318442463874817,26.5748291015625,3.2799644470214844,5.774191379547119,125199272.0,0.23675689101219177,0.18444250524044037,0.16052056849002838,0.15084852278232574,0.17581631243228912,0.16614285111427307,0.19472847878932953,2,0.23675689101219177,0,1.0,0,1.0,2,0.9541984732824428,54.92420419299876,23.321879943625554,0.4246193510910881,5,4.431401623715103,0.6003261031891466,0.2762323812550047,-0.1929868067565068,1.0,0.030534351145038167,983.9062425786494,213.9074338269264,108.8115009907332,200.853395942024,289.71148485452676,two_clusters,108.8115009907332,1,False
41,4260.563335418701,161.2928466796875,103.91617891265125,36.50618089087082,3.6472470497538403,-0.2240806372314718,-1.130256736598903,74.47061920166016,130.07693481445312,55.60631561279297,0.0,103.91617891265125,0.0,36.50618089087082,11,58.876678466796875,11.727706909179688,5.3524253151633525,3.694377230406095,2.142325247563746,0.44160436344597764,-1.070561412019081,2.9716110229492188,7.875133514404297,4.903522491455078,128.44059545343572,133.79302076859906,24.077563932573543,25.89364761825534,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682926829268293,0.0,30,3.222312755380303,6.554283785627497,25.546766840544574,0.5786233831279431,0.1633324772119522,26.756921768188477,3.2867932319641113,6.122481346130371,21069546.0,0.22248876094818115,0.21639397740364075,0.11232683807611465,0.2180524319410324,0.06077549606561661,0.10872585326433182,0.1041259914636612,2,0.22248876094818115,0,1.0,0,1.0,0,1.0,92.79598617553711,40.69062370459969,0.4384955145325731,4,3.184640902439357,0.7122934060496886,0.1835561075848087,0.2920246914906762,1.0,0.0,957.9883137120967,308.02445421281897,46.96217248338461,148.46110747881443,236.43752576717185,two_clusters,46.96217248338461,1,False
99,5487.374754905701,144.4613494873047,55.42802782733031,32.87507452480882,4.431976596747022,1.0072212933315001,0.16071322423056555,32.94063377380371,70.75477600097656,37.81414222717285,0.0,55.42802782733031,0.0,32.87507452480882,10,44.54701232910156,17.013168334960938,4.454701232910156,4.954800539413637,1.7617631832338472,1.5125705802894713,1.3630369020379671,0.7830667495727539,5.464899063110352,4.681832313537598,93.60209617614746,98.05679740905762,26.607216495651624,30.101887283888416,2,2.8581771850585938,1.8554534912109375,1.4290885925292969,0.4263648986816406,0.6479566440319471,0.0,0.0,1.2159061431884766,1.6422710418701172,0.4263648986816406,120.53796005249023,121.96704864501953,21.642642974853516,22.069007873535156,0.10101010101010101,0.2,91,3.1177713490390735,2.740801351225013,24.216952858402657,1.1610148896805732,0.1483243703842163,25.962892532348633,3.2566683292388916,6.74198055267334,161137312.0,0.2911606729030609,0.20783637464046478,0.21091873943805695,0.19290131330490112,0.2008512169122696,0.24228426814079285,0.24762505292892456,2,0.2911606729030609,0,1.0,0,1.0,8,0.7559523809523809,37.81040182000115,21.916916844266968,0.5796531057406864,3,4.6617045372039145,0.7394040005370953,0.27546636887486387,-0.2736211008108995,1.0,0.017857142857142856,850.9663675776064,235.55193717360314,35.423218076140834,123.65983402298417,199.29120302942002,two_clusters,35.423218076140834,1,False
59,5186.74933052063,161.28916931152344,87.91100560204457,36.74783094607909,3.989292400107749,0.398318139510263,-0.7582214942434695,59.686248779296875,113.64470672607422,53.958457946777344,0.0,87.91100560204457,0.0,36.74783094607909,20,145.0854148864746,16.438583374023438,7.254270744323731,4.8703235519545185,2.7722672519976608,0.5499227842782188,-1.1787584411161638,2.862722396850586,11.076156616210938,8.213434219360352,110.79344100952149,118.04771175384522,31.67625232363651,33.405712342415015,2,4.020423889160156,2.6161727905273438,2.010211944580078,0.6059608459472656,0.6469993953197704,0.0,0.0,1.7072315216064453,2.313192367553711,0.6059608459472656,131.3889503479004,133.39916229248047,13.557064056396484,12.951103210449219,0.3389830508474576,0.1,41,3.602226006573035,5.086443872902447,26.575355165258234,0.6629365818816579,0.16659116744995117,26.45216941833496,3.2753381729125977,6.002718925476074,38809780.0,0.2509233355522156,0.25889667868614197,0.11167504638433456,0.1256113350391388,0.1448521912097931,0.14772942662239075,0.14414086937904358,3,0.25889667868614197,0,1.0,0,1.0,1,0.95,78.35523433685303,37.86941567628053,0.483304223346178,3,3.66101464909394,0.5514643982029164,0.21764698382737904,-0.06046487235384812,1.0,0.016666666666666666,995.2769215666744,335.1742170972461,107.92095460326252,195.12446337150445,273.2770122477459,two_clusters,107.92095460326252,1,False
33,3887.1181030273438,164.7454833984375,117.79145766749527,33.396725245467245,3.4512464846483333,-0.7437087895945893,-0.2034013854798662,93.81185150146484,141.52267456054688,47.71082305908203,0.0,117.79145766749527,0.0,33.396725245467245,6,48.031585693359375,16.769210815429688,8.005264282226562,4.833509708606242,1.6020004522770077,0.5477784027235024,-0.562238927758723,5.3795623779296875,10.025440216064453,4.645877838134766,153.00939178466797,161.01465606689453,10.12256144081755,12.936825252434891,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,27,6.028606810110866,5.848845633254402,66.37847677256715,0.8068153685490579,0.1276068538427353,26.12867546081543,3.263033390045166,7.836569786071777,94149701271552.0,0.190129816532135,0.20197761058807373,0.1375807374715805,0.17830967903137207,0.1654825359582901,0.13301104307174683,0.13574865460395813,3,0.20197761058807373,0,1.0,0,1.0,0,1.0,110.45436320585362,37.177068999347085,0.3365830730476463,3,3.047074222855906,0.7240639441084535,0.19223388573797953,0.3012565477725003,1.0,0.0,998.3761836066425,319.40264517959196,39.29353384068968,150.34323265978713,238.71576590840806,two_clusters,39.29353384068968,1,True
37,3782.222352027893,161.25515747070312,102.2222257304836,47.185680310634524,3.477084135909655,-0.6938144035346603,-0.821413754477156,78.93733978271484,139.85069274902344,60.913352966308594,0.0,102.2222257304836,0.0,47.185680310634524,9,55.769287109375,16.004302978515625,6.196587456597222,5.0890564568597,1.8743736986331723,0.7458684141649411,-0.9653345403485241,2.1221160888671875,10.74444580078125,8.622329711914062,149.15742577446832,155.35401323106555,13.305530348997577,15.28270377730867,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24324324324324326,0.0,28,8.592571485388781,3.511097714737295,89.4736833529517,0.8982661800554864,0.11854705959558487,25.46320152282715,3.237234354019165,8.435468673706055,2.1567960991704023e+18,0.26066112518310547,0.2656538486480713,0.23593872785568237,0.232936829328537,0.23957867920398712,0.21265514194965363,0.2343292534351349,3,0.2656538486480713,0,1.0,0,1.0,2,0.7894736842105263,95.96850254661159,47.76360078315267,0.49770080303122416,3,3.1584999290755094,0.7875009782301521,0.24104211031700015,0.21486357990039562,1.0,0.0,958.6404308715624,298.9723184176284,44.76491498275111,145.54649598639034,236.3412812469611,two_clusters,44.76491498275111,1,False
36,3881.384433746338,158.9609375,107.81623427073161,37.50175457680692,3.51507079405216,-0.4690322158893407,-0.5900298615342088,87.31925201416016,140.35108947753906,53.031837463378906,0.0,107.81623427073161,0.0,37.50175457680692,3,23.25579833984375,13.731307983398438,7.751932779947917,5.411170045031375,0.7760157695518775,-0.3082544617215789,0.0,4.762245178222656,11.314773559570312,6.552528381347656,158.34500122070312,166.09693400065103,4.841667651816273,10.191083867543243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,33,4.173609769605993,5.046158447794662,112.36377967337253,1.0798756937649383,0.13447163999080658,25.9516544342041,3.256235361099243,7.436512470245361,4201718528.0,0.2197764664888382,0.23443399369716644,0.18914809823036194,0.21879075467586517,0.2186955362558365,0.21349450945854187,0.14820919930934906,3,0.23443399369716644,0,1.0,0,1.0,0,1.0,99.89706544618349,41.96541533649596,0.4200865675989607,4,3.0814159903238703,0.7605551509794075,0.18657928792521555,0.3199115065711181,1.0,0.0,989.6944605142162,287.4149752345733,21.774406593782828,136.0348880048022,217.90852766116427,two_clusters,21.774406593782828,1,True
39,4085.2693672180176,158.8182830810547,104.75049659533379,36.60926766482388,3.598285916342768,-0.1232596556686127,-0.980277718367363,79.66622924804688,140.1989517211914,60.53272247314453,0.0,104.75049659533379,0.0,36.60926766482388,8,35.08631134033203,9.855667114257812,4.385788917541504,3.1124164821961178,1.7823614821925449,0.2024390680597741,-1.0186558719431589,1.8931655883789062,6.576694488525391,4.683528900146484,148.3382749557495,152.72406387329102,22.02523626359586,24.51111820708209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20512820512820512,0.0,31,4.731450466776302,5.6842509223163225,48.93788474987625,0.7734657675068071,0.14832934737205505,26.231069564819336,3.266944646835327,6.741754531860352,4481168384.0,0.22431950271129608,0.23946209251880646,0.22392432391643524,0.23101869225502014,0.23176491260528564,0.14654254913330078,0.14438225328922272,3,0.23946209251880646,0,1.0,0,1.0,0,1.0,96.49895639419556,38.78589283779272,0.4019306973575282,6,3.082036895289499,0.7594879337032003,0.229352443399622,0.07870108858974734,1.0,0.0,991.4976100784079,295.6346498599248,30.139842561343773,147.60673708469332,226.32982270151803,two_clusters,30.139842561343773,1,True
55,5169.989938735962,157.57516479492188,93.99981706792659,34.71415777877167,3.935517622859236,0.07391503425114844,-0.748639985109409,64.63408088684082,114.82699584960938,50.192914962768555,0.0,93.99981706792659,0.0,34.71415777877167,12,91.00618743896484,20.61762237548828,7.58384895324707,6.4936704510936405,2.0708803891138325,0.630363747289124,-0.6575694103351242,1.919698715209961,11.562788009643555,9.643089294433594,123.53528340657552,131.1191323598226,22.632965463877795,22.146231800445374,1,1.1342620849609375,1.1342620849609375,1.1342620849609375,0.0,-0.0,0.0,0.0,1.1342620849609375,1.1342620849609375,0.0,134.9511260986328,136.08538818359375,0.0,0.0,0.21818181818181817,0.08333333333333333,44,3.4263833273398423,5.701043295033874,56.14531021890447,0.8444358076963351,0.2257726639509201,27.03870964050293,3.297269582748413,4.429234027862549,34772644.0,0.1633516401052475,0.1383199542760849,0.11209426820278168,0.12900066375732422,0.14750754833221436,0.14908790588378906,0.13949783146381378,2,0.1633516401052475,0,1.0,0,1.0,0,1.0,83.03293766294208,36.79639203388821,0.44315416351107356,3,3.619923870705059,0.5774544557174595,0.2657289995157581,-0.4145134983819867,1.0,0.03571428571428571,954.9451427644238,294.8902268428816,69.68116615379861,151.38261938882326,253.3053810291002,two_clusters,69.68116615379861,1,False
41,4256.01819229126,159.7902374267578,103.80532176320146,33.518690831636306,3.659739199165305,0.0714677018824929,-0.9439808954773894,78.10668182373047,131.50949096679688,53.402809143066406,0.0,103.80532176320146,0.0,33.518690831636306,11,56.51506805419922,12.7996826171875,5.137733459472656,4.603370629269659,1.978667150606104,0.5200608154837533,-1.4702866965703154,1.2458267211914062,10.177360534667969,8.931533813476562,135.43737238103694,140.5751058405096,31.794757349818827,31.136617010432907,1,1.1790618896484375,1.1790618896484375,1.1790618896484375,0.0,-0.0,0.0,0.0,1.1790618896484375,1.1790618896484375,0.0,180.4630889892578,181.64215087890625,0.0,0.0,0.2682926829268293,0.09090909090909091,31,5.878161719901349,5.56276354406988,45.68253145423982,0.7708425921312039,0.15230542421340942,26.245716094970703,3.267502784729004,6.565753936767578,842003251200.0,0.22653380036354065,0.2393430918455124,0.22090966999530792,0.1486293077468872,0.1537894457578659,0.16138282418251038,0.1502850502729416,3,0.2393430918455124,0,1.0,0,1.0,0,1.0,96.6540097736177,35.81995847895553,0.37059981849540197,5,3.1126108962142274,0.7491051875731491,0.21562896894860475,0.12336376969738294,1.0,0.0,1003.6490594109626,292.05459009640754,45.29226174611603,149.60898741486284,239.89698360001807,two_clusters,45.29226174611603,1,False
